id,name,slug,short_description,description,founded_year,trusted_seller,verified,total_outlets,outlet_range,parent_company,business_type,established_year,units_count,leader_name,leader_role,contact_email,logo_url_circle,logo_url_square,created_by,updated_by,created_at,updated_at
fc244900-e4b1-4eec-8e70-eb778beac3a5,Store Senor,store-senor,Premium men's ethnic and wedding wear franchise in India,"Store Senor is a premium men's ethnic and wedding wear brand specializing in Sherwanis, Indo Westerns, Tuxedos, Band Galas, Kurta Pyjamas, and Nehru Jackets. Established in 2023 under Enzed Global Private Limited, the brand operates stores in Gurugram and Delhi, and launched its franchise model in 2024 targeting premium to luxury customers. Franchise opportunities are available across India with comprehensive support.",2023,true,true,2,,Enzed Global Private Limited,Private Limited Company,2023,0,,,Info@storesenor.in,/FranchiseHomePage/FranchiseLogos/Circle/store_senor_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/store_senor_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
a6ae3e8e-b3da-4406-9a53-1f411523033b,Peachmode,peachmode,Popular women's ethnic wear franchise in India,"Peachmode is a prominent Indian women's ethnic wear brand specializing in modern Indian fashion blending traditional aesthetics with contemporary trends. Founded in 2014, the brand has 42+ offline stores and a strong digital presence. Franchise opportunities available across India, offering training, operational support, and marketing assistance. Investment ranges from ?10-50 Lakhs depending on model and location.",2014,true,true,42,,Code Raft Solutions Pvt. Ltd.,Private Company,2014,0,"Anupam Tulsyan, Aradhya Tulsyan",Co-Founders & CEO/Co-Founder,contact@peachmode.com,/FranchiseHomePage/FranchiseLogos/Circle/peachmode_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/peachmode_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
f610d893-650e-46e2-89a6-c50f59036275,Tim Paris,tim-paris,Contemporary Indian men's casual wear brand,"Tim Paris is a contemporary Indian men's casual wear brand specializing in high-quality everyday essentials in the value format segment. Launched in April 2022 by Primafashion Global Private Limited (PGPL), the brand has rapidly expanded to become one of India's fastest-growing men's fashion chains. Founded by Capt. Rahul Rajyaguru (Co-Founder & Director) and Sandeep Chaudhary (Co-Founder & Director), Tim Paris blends essential wear with luxury. The brand operates on a vertically integrated model covering design, manufacturing, and retail, and has aggressive expansion plans across India.",2022,true,true,70,,Primafashion Global Private Limited,Private Limited Company,2022,0,"Capt. Rahul Rajyaguru, Sandeep Chaudhary, Sukhraj Singh",Co-Founders & Director / Consulting Creative Director,info@franchiseavs.com,/FranchiseHomePage/FranchiseLogos/Circle/tim_paris_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/tim_paris_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
1dac1aa2-22c2-41e9-a608-2ffb1cefdf84,Liverpool,liverpool,Award-winning Indian menswear brand,"Liverpool is an award-winning men's fashion brand launched in 2017 as an initiative of Sunrise Bizcom Pvt. Ltd. The brand has grown to become one of India's most trusted menswear brands with outlets across 40 cities. Liverpool specializes in casual menswear including shirts, denims, trousers, chinos, and accessories, promoting ""Value for Money"" as its key motto.",2017,true,true,40,,Sunrise Bizcom Private Limited,Private Limited Company,2017,0,,,lpaccount@liverpool.co.in,/FranchiseHomePage/FranchiseLogos/Circle/liverpool_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/liverpool_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
1ee2cd39-dcf0-4e78-971d-967b8f1e2f12,Banana Club,banana-club,Premium D2C menswear brand from India,"Banana Club is a premium D2C men's fashion brand founded in 2011. It offers high-street western wear inspired by global runway trends. The brand operates both offline stores and online platforms, ensuring a ""Made In Bharat"" positioning. Banana Club raised ?12.25 crore on the Indian TV show ""Pitch To Get Rich"" in October 2025 at a valuation of ?245 crore and operates 16+ stores across India.",2011,true,true,16,,Banana Club Clothing Private Limited (Manufacturing) / Banana Club In Vogue Private Limited (Retail),Private Limited Company,2021,0,Neel Bafna,Founder & CEO,,/FranchiseHomePage/FranchiseLogos/Circle/banana_club_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/banana_club_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
1c97dc61-7708-4958-8222-3fe8fa9275bc,Sports Station,sports-station,Multi-brand sportswear retailer across India,"Sports Station is a leading multi-brand sportswear retailer under the SSIPL Group, offering products from global giants like Nike, Adidas, and Puma. The brand targets high-footfall locations across India with a franchise model requiring ?50 lakh - 1 crore investment, featuring zero royalty fees and comprehensive operational support. Sports Station has over 50 outlets across India.",2005,true,true,50,,SSIPL Group (Super Sports India Private Limited),Franchise - Retail Store,2005,50,,,contact@sportsstation.in,/FranchiseHomePage/FranchiseLogos/Circle/sports_station_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/sports_station_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
9ab139e7-cf16-4085-9352-c51d74e61115,Dazzle SportsWear,dazzle-sportswear,Affordable Make in India sportswear and casual wear,"Dazzle SportsWear is a ""Make in India"" apparel brand founded by a former international volleyball player. The brand specializes in affordable, high-quality sportswear and leisurewear. It has a low entry cost of ?20-30 Lakh, offers a high ROI of 45%, and focuses on Tier 2/3 city expansion along with eco-friendly product lines. Currently, the brand has over 20 outlets across India.",2006,true,true,20,,Independent,Franchise - Retail Store,2006,20,Paladugu Venkateshwar Rao,Founder,inquiries@dazzlesportswear.com,/FranchiseHomePage/FranchiseLogos/Circle/dazzle_sportswear_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/dazzle_sportswear_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
ac303bf7-2a32-471d-9be1-a1dbb2e915e7,Adidas,adidas,Global premium sportswear and footwear brand,"A global sportswear giant offering a premium retail franchise opportunity with a strong presence in metros and Tier-1 cities. The model requires an investment of ?30-50 Lakhs, backed by powerful global marketing and a quick payback period of around 1 year.",2008,true,true,350,,Adidas AG,Franchise - Retail Store,2008,350,,,customerservice@adidas.co.in,/FranchiseHomePage/FranchiseLogos/Circle/adidas_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/adidas_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
df361e73-da0e-4e50-992d-e95e57306357,Maverick Turf,maverick-turf,Specialized B2B sports infrastructure and turf services,"An expert sports infrastructure franchise specializing in sports turf, stadium seating, and portable pitches. The model requires a low initial investment of ?2-5 Lakhs and offers fast ROI of 50% with a short payback period of just 3 months. Focused on selective expansion in metros and Tier-2 cities.",2010,true,true,5,,Independent,Franchise - Service & Installation,2010,5,,,contact@maverickcorp.in,/FranchiseHomePage/FranchiseLogos/Circle/maveric_turf_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/maveric_turf_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
c8bbd1a5-9676-4a19-b8c4-1b2f22fe8148,Cricket Academy of Pathans,cricket-academy-of-pathans,Professional cricket coaching academy,"Cricket Academy of Pathans (CAP) is a franchise-based cricket training academy founded by Irfan Pathan and Yusuf Pathan. It offers professional cricket coaching, player development programs, and technology-based performance analysis through PitchVision. The academy follows a private entrepreneur franchise model, rapidly expanding across India and international markets.",2014,true,true,41,,CAP (Pathan Brothers),Franchise - Sports Academy,2015,41,"Irfan Pathan, Yusuf Pathan",Founders & Directors,,/FranchiseHomePage/FranchiseLogos/Circle/cricket_academy_of_pathans_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/cricket_academy_of_pathans_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
88848236-153f-41d1-85cd-4a9001af249c,O2 Gym Fitness,o2-gym-fitness,Premium fitness and wellness franchise,"O2 Gym Fitness is a premium fitness and wellness franchise in India providing gym, wellness, cardio, and strength training services. It operates on a franchise model with a 0% royalty system to maximize franchisee profitability and has expansion opportunities across Tier 1 and Tier 2 cities.",2020,true,true,0,,,Franchise - Gym Chain,2020,0,,,,/FranchiseHomePage/FranchiseLogos/Circle/o2_fitness_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/o2_fitness_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
d96ac4e8-daa4-4d60-9a4d-f7dcb54412b7,Burn Gym and Spa,burn-gym-and-spa,Premium fitness and wellness franchise,"Burn Gym and Spa offers premium gym, spa, personal training, and boot camp services. Operating on a private entrepreneur franchise model, it focuses on Tier-1 cities in North India, providing full operational and marketing support to franchisees.",2017,true,true,0,,,Franchise - Premium Gym,2017,0,,,,/FranchiseHomePage/FranchiseLogos/Circle/burn_gym_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/burn_gym_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
d451263c-43df-4ba1-b652-cbac27ff7846,Nitsa Holidays,nitsa-holidays,Customized international travel and holiday planning,"Nitsa Holidays specializes in customized international tour packages and personalized vacations for Indian travellers. It operates on a franchise model in online travel services, offering full operational and marketing support to franchisees.",2015,true,true,20,,Earth Travels,"Franchise model in online travel services, service-based travel agency",2015,20,Nitin Singla and Sapna Garg,,,/FranchiseHomePage/FranchiseLogos/Circle/nitsa_holidays_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/nitsa_holidays_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
a3d5f27f-978c-48e7-97cf-21e8aea6d359,EaseMyTrip,easemytrip,"India's leading online travel company offering flight bookings, hotels, holidays, and travel services through franchises","EaseMyTrip operates a franchise retail travel outlet model, providing comprehensive online and offline travel booking services, including flights, hotels, holidays, trains, cabs, cruises, and visas. The company supports franchisees with training, marketing, store setup, and ongoing operational assistance.",2008,true,true,2590,,Easy Trip Planners Pvt. Ltd.,Franchise retail travel outlet model,2008,2590,Nishant Pitti,Director,,/FranchiseHomePage/FranchiseLogos/Circle/ease_my_trip_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/ease_my_trip_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
780dabc4-787e-4001-9c4b-a07c9874ffab,MakeMyTrip India Pvt Ltd.,makemytrip,"India's leading online travel company offering flights, hotels, holiday packages, trains, car rentals via franchises","MakeMyTrip operates a franchise retail travel outlet model providing comprehensive online and offline travel booking services including flights, hotels, holiday packages, trains, car rentals, and insurance. Franchisees receive training, marketing, operational, and technical support.",2000,true,true,100,,MakeMyTrip India Pvt Ltd (publicly listed),Franchise,2008,100,Rajesh Magow,CEO/Co-founder,,/FranchiseHomePage/FranchiseLogos/Circle/makemytrip_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/makemytrip_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
499ed48e-a3e7-480e-900b-f384cd1ec21f,Cloud9Trip,cloud9trip,"Travel brand under Sohan Tours and Travels; started as air ticketing in 2009, expanded to international holidays and tour packages.","Cloud9Trip (trademark/brand of Sohan Tours and Travels). Offers comprehensive travel services including flights, hotels, holiday packages, visa, and insurance. Franchisees get training, marketing, operational, and technical support.",2009,false,false,20,,Sohan Tours and Travels,Franchise,2009,2,Sohan Tours and Travels Team,,,/FranchiseHomePage/FranchiseLogos/Circle/cloud9trip_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/cloud9trip_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
fc554f5b-c10b-4835-b81b-6eb90deb8862,Thomas Cook India Pvt. Ltd.,thomascook,"Leading travel and financial services company offering holiday packages, forex, and insurance solutions.","Thomas Cook India provides travel services including international and domestic holidays, flight bookings, hotels, forex, insurance, and corporate travel. Franchisees get operational support, marketing guidance, and technical assistance.",1881,true,true,105,,Thomas Cook Group,Franchise,2001,50,Rohit Kapoor,Managing Director,,/FranchiseHomePage/FranchiseLogos/Circle/thomas_cook_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/thomas_cook_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
ab2c97a4-15c8-4105-902b-e6b961445825,Club Travalet,club-travalet,Timeshare vacation franchise offering affordable holiday ownership programs for middle and lower-middle-class families.,"Club Travalet, launched by TVTRIPNSTAY HOLIDAYS PVT LTD, allows customers to pay in advance and enjoy vacations in installments without seasonal price fluctuations. Franchisees get operational guidance, marketing support, training, and inclusion of current IT systems.",2018,false,true,20,,TVTRIPNSTAY HOLIDAYS PVT LTD,Multi-unit Franchise,2020,20,,,,/FranchiseHomePage/FranchiseLogos/Circle/club_travalet_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/club_travalet_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
0fe579f2-a816-4116-a312-a340923dbfe6,Amber Destinations,amber-destinations,"Online travel franchise offering holiday bookings, tours, and related travel solutions targeting middle-class customers.","Amber Destinations provides online travel services including holiday packages, timeshare vacation ownership, and travel bookings via multi-unit franchise model supporting 20-50 franchises. Franchisees receive training, marketing support, IT system access, and operational guidance.",2018,false,true,20,,,Multi-unit Franchise,2020,20,,,,/FranchiseHomePage/FranchiseLogos/Circle/Amber_destination_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/Amber_destination_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
a0160a9a-fe08-485e-9592-67df5f2e6235,Southern Travels Pvt Ltd,southern-travels-pvt-ltd,"Reputed travel company offering holiday/travel packages, corporate/leisure/international tours with franchise model, offices, fleet, hotels.","Southern Travels Pvt Ltd provides end-to-end travel services including corporate and leisure tours, coach/vehicle rentals, hotel bookings, and international/domestic tours. The company operates through a franchise model with multiple owned offices and fleet operations, offering training, operational support, IT systems, and marketing assistance.",1970,true,true,20,,Southern Travels Pvt Ltd,Franchise,1970,20,,,info@southerntravels.com,/FranchiseHomePage/FranchiseLogos/Circle/southern_travels_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/southern_travels_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
ba736baa-47d2-4b53-8969-661dbce6e6a1,Nexottel Hotel Resort,nexottel-hotel-resort,Mid-priced full-service business hotels and resorts across Pan Asia,"Nexottel Hotel Resort is a premier hospitality brand offering mid-priced full-service business hotels and resorts across India and the GCC region. The brand focuses on operational excellence, consistent guest experience, strong sales and marketing support, hotel management, and technology-driven operations. Nexottel aims to scale to 100 hotels and 3,000 rooms across Pan Asia.",2019,true,true,50,,SMHL Group,"Franchise, Hotel Management",2019,50,,,,/FranchiseHomePage/FranchiseLogos/Circle/nexottel_hotel_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/nexottel_hotel_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
f943babd-ea6a-444b-b645-315f491c40a6,Trip Factory Pvt Ltd,trip-factory,AI-powered travel franchise offering customized holiday packages worldwide,"Trip Factory is India's largest holiday store leveraging AI and machine learning to deliver customized global travel experiences. Operating across 49 countries, the platform handles over 100,000 daily transactions and is supported by a large global workforce. The franchise model enables entrepreneurs to run travel businesses with minimal investment using Trip Factory's proprietary technology, leads, and centralized support.",2013,true,true,50,,Trip Factory Pvt Ltd,Franchise,2013,50,Amit Aggarwal,Co-founder & CEO,,/FranchiseHomePage/FranchiseLogos/Circle/trip_factory_circle.jpg,/FranchiseHomePage/FranchiseLogos/Square/trip_factory_square.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
e277efc3-55a1-40a9-8fad-b3149ffe9d2f,Sonix Car Decors,sonix-car-decors,Premium automotive accessories and car decor franchise,"Sonix Car Decors is a premium automotive accessories and car decor brand originating from Andhra Pradesh. Operating since 2010, the brand has evolved into a high-margin car studio-cum-distributorship model offering premium accessories, car electronics, detailing services, and tech upgrades. The franchise requires an investment of ?40-50 lakhs for a 750-1000 sq. ft. studio and provides full training, ERP-backed operations, and marketing support for pan-India expansion.",2010,true,true,10,,,Private business / franchise-led car accessories chain,2010,10,Syed Shahid,Founder,,/FranchiseHomePage/FranchiseLogos/Circle/sonix_car_decors_circle.jpg,/FranchiseHomePage/FranchiseLogos/Circle/sonix_car_decors_circle.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
be9dc891-8287-4cbd-9093-b658cae87d07,Frozen Bottle,frozen-bottle,Premium gelato and frozen dessert cafe franchise,"Frozen Bottle is a premium frozen dessert and gelato cafe brand offering handcrafted ice creams, thick shakes, waffle jars, sundaes, and innovative jar-based desserts with a modern cafe experience.",2017,true,true,200,,Munchbox Frozen Foods Pvt. Ltd.,Private Limited Company,2017,200,"Arun Suvarna, Pranshul Yadav",Founders,franchise@frozenbottle.in,/FranchiseHomePage/FranchiseLogos/Circle/frozen_bottle-photoaidcom-cropped.jpg,/FranchiseHomePage/FranchiseLogos/Square/frozen_bottle.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
489d88bf-1f8d-4de9-b7f1-a863268d3126,Amul Ice Cream,amul-ice-cream,One of India's largest and most trusted ice-cream brands offering 100% real milk products,"Amul Ice Cream, a division of GCMMF, is one of India's largest and most trusted ice-cream brands, offering 100% real milk products through 2000+ outlets nationwide with a low-investment, zero-royalty franchise model.",1946,true,true,1500,,Gujarat Cooperative Milk Marketing Federation (GCMMF),Franchise / Cooperative Retail Model,1973,1500,Shamalbhai B. Patel; Jayen Mehta,Chairman; MD,customercare@amul.coop,/FranchiseHomePage/FranchiseLogos/Circle/amul_ice_cream-photoaidcom-cropped.jpg,/FranchiseHomePage/FranchiseLogos/Square/amul_ice_cream.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
f1ce23fc-d9bd-4514-83be-543b30357cb1,Giani's Ice Cream,gianis-ice-cream,"Heritage Indian ice-cream brand known for traditional flavors like Rabri Falooda, Kulfi, and Kesar Pista","Giani's Ice Cream is a heritage Indian ice-cream brand founded in 1956 in Delhi, known for its rich traditional flavors. From a small shop in Chandni Chowk, it has grown into a popular multi-city franchise offering ice creams, sundaes, shakes, and desserts. Recognized for quality, authentic taste, and strong customer loyalty.",1956,true,true,300,,GIANIS Ice Cream Pvt. Ltd.,Franchised Retail - Ice Cream Parlor,1956,300,"Giani Gurcharan Singh, Gurbachan Singh, Taranjeet Singh",Founder; Second Gen; Third Gen,care@gianiicecream.in,/FranchiseHomePage/FranchiseLogos/Circle/giani_ice_cream-photoaidcom-cropped.jpg,/FranchiseHomePage/FranchiseLogos/Square/giani_ice_cream.jpg,00000000-0000-0000-0000-000000000001,,2026-01-10 12:02:00,2026-01-10 12:02:00
