sr_no,name,short_description,description,established_year,company_name,business_type,ceo_name,ceo_title,ceo_email,entity_type,member_count,min_membership_fee,max_membership_fee,website,industry,category,sector,state,city,association_type,legal_status,json_data
42,All India Council for Technical Education (AICTE),Statutory body regulating technical education in India.,AICTE is the statutory body and a national-level council for technical education in India. It is responsible for proper planning and co-ordinated development of the technical education and management education system in India.,1987,All India Council for Technical Education,Statutory Body,T. G. Sitharam,Chairman,chairman@aicte-india.org,association,12000,10000,100000,https://www.aicte-india.org,"Education (Coaching, Preschools, EdTech)",Technical Education Regulator,Technical Education,Delhi,New Delhi,National,Statutory Body,"{""association_type"": ""National"", ""legal_status"": ""Statutory Body"", ""overview"": {""about"": ""AICTE is the statutory body and a national-level council for technical education in India. It is responsible for proper planning and co-ordinated development of the technical education and management education system in India."", ""mission"": """", ""vision"": """", ""sector"": ""Technical Education"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": """", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": """", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""12000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": ""chairman@aicte-india.org"", ""website"": ""https://www.aicte-india.org""}}"
43,Advertising Standards Council of India (ASCI),Self-regulatory body of the advertising industry in India.,"ASCI is the self-regulatory organisation of the advertising industry in India, set up in 1985. It ensures advertisements are honest, truthful, and not offensive, working to maintain standards in advertising through its Code for Self-Regulation.",1985,Advertising Standards Council of India,Self-Regulatory Body,Manisha Kapoor,CEO & Secretary General,info@ascionline.org,association,800,25000,1000000,https://www.ascionline.in,"Technology / IT (IT Support, Cybersecurity, Digital Marketing)",Advertising Self-Regulatory Body,Advertising,Maharashtra,Mumbai,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""ASCI is the self-regulatory organisation of the advertising industry in India, set up in 1985. It ensures advertisements are honest, truthful, and not offensive, working to maintain standards in advertising through its Code for Self-Regulation."", ""mission"": """", ""vision"": """", ""sector"": ""Advertising"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": """", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": ""Manisha Kapoor"", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""Mumbai, Maharashtra"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""800+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""Mumbai, Maharashtra, India"", ""phone_number"": """", ""email"": ""info@ascionline.org"", ""website"": ""https://www.ascionline.in""}}"
44,Indian Newspaper Society (INS),Apex body of newspaper and news agency publishers in India.,"The Indian Newspaper Society is the apex body of newspaper and news agency publishers in India, founded in 1939. It represents over 1,100 member publications across the country and works to uphold press freedom and newspaper industry interests.",1939,Indian Newspaper Society,Non-profit Industry Body,Shailesh Gupta,President,ins@ins.org.in,association,1100,10000,500000,https://www.ins.org.in,"Technology / IT (IT Support, Cybersecurity, Digital Marketing)",Newspaper Publishers Society,Print Media,Maharashtra,Mumbai,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""The Indian Newspaper Society is the apex body of newspaper and news agency publishers in India, founded in 1939. It represents over 1,100 member publications across the country and works to uphold press freedom and newspaper industry interests."", ""mission"": """", ""vision"": """", ""sector"": ""Print Media"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": ""Shailesh Gupta"", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": """", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""Mumbai, Maharashtra"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""1100+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""Mumbai, Maharashtra, India"", ""phone_number"": """", ""email"": ""ins@ins.org.in"", ""website"": ""https://www.ins.org.in""}}"
45,All India Food Processors' Association (AIFPA),Apex body of food processing industry in India.,"AIFPA is the apex body of food processors in India. Established in 1943, it represents the interests of the food processing industry and liaises with government bodies on policy matters related to food processing and exports.",1943,All India Food Processors Association,Non-profit Trade Body,Subodh Jindal,President,aifpa@aifpa.net,association,500,5000,100000,https://www.aifpa.net,"Food & Beverage (QSR, Cafe, Cloud Kitchens)",Food Processing Industry Body,Food Processing,Delhi,New Delhi,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""AIFPA is the apex body of food processors in India. Established in 1943, it represents the interests of the food processing industry and liaises with government bodies on policy matters related to food processing and exports."", ""mission"": """", ""vision"": """", ""sector"": ""Food Processing"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": ""Subodh Jindal"", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": """", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""500+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": ""aifpa@aifpa.net"", ""website"": ""https://www.aifpa.net""}}"
46,National Seeds Association of India (NSAI),Apex body of the seed industry in India.,"NSAI is the apex body of the seed industry in India, representing private sector seed companies. It advocates for seed policy reforms, seed quality, and technology adoption to ensure food security.",2000,National Seeds Association of India,Non-profit Trade Body,Ram Kaundinya,Director General,info@nsai.co.in,association,400,10000,200000,https://nsai.co.in,"Agriculture (Agri-tech, Rural Retail, Organic Farming)",Seed Industry Association,Seeds / Input,Delhi,New Delhi,National,Section 8 Company,"{""association_type"": ""National"", ""legal_status"": ""Section 8 Company"", ""overview"": {""about"": ""NSAI is the apex body of the seed industry in India, representing private sector seed companies. It advocates for seed policy reforms, seed quality, and technology adoption to ensure food security."", ""mission"": """", ""vision"": """", ""sector"": ""Seeds / Input"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": """", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": ""Ram Kaundinya"", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""400+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": ""info@nsai.co.in"", ""website"": ""https://nsai.co.in""}}"
47,APEDA – Agricultural & Processed Food Products Export Development Authority,Government authority promoting export of agricultural produce.,APEDA was established under the Agricultural and Processed Food Products Export Development Authority Act 1985. It is responsible for the promotion and development of export of agricultural and processed food products from India.,1985,Agricultural and Processed Food Products Export Development Authority,Government Authority,Abhishek Dev,Chairman,chairman@apeda.gov.in,association,80000,5000,5000,https://apeda.gov.in,"Government (E-Governance, Documentation services)",Govt. Export Development Authority,Agri Exports,Delhi,New Delhi,National,Statutory Body,"{""association_type"": ""National"", ""legal_status"": ""Statutory Body"", ""overview"": {""about"": ""APEDA was established under the Agricultural and Processed Food Products Export Development Authority Act 1985. It is responsible for the promotion and development of export of agricultural and processed food products from India."", ""mission"": """", ""vision"": """", ""sector"": ""Agri Exports"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": """", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": """", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""80000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": ""chairman@apeda.gov.in"", ""website"": ""https://apeda.gov.in""}}"
48,Indian Wind Energy Association (InWEA),Apex body representing India's wind energy industry.,"InWEA is the nodal agency for the Indian wind energy sector and represents the interests of wind energy developers, manufacturers, and service providers. It works to promote wind energy adoption and advocates for a favourable policy environment.",2010,Indian Wind Energy Association,Non-profit Industry Body,Hemant Mistry,Director General,info@windpro.org,association,250,25000,500000,https://www.windpro.org,"Logistics / Manufacturing (Couriers, Warehousing, Light Manufacturing)",Wind Energy Industry Body,Wind Energy,Delhi,New Delhi,National,Section 8 Company,"{""association_type"": ""National"", ""legal_status"": ""Section 8 Company"", ""overview"": {""about"": ""InWEA is the nodal agency for the Indian wind energy sector and represents the interests of wind energy developers, manufacturers, and service providers. It works to promote wind energy adoption and advocates for a favourable policy environment."", ""mission"": """", ""vision"": """", ""sector"": ""Wind Energy"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": """", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": ""Hemant Mistry"", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""250+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": ""info@windpro.org"", ""website"": ""https://www.windpro.org""}}"
49,Solar Energy Society of India (SESI),Professional society for solar energy in India.,"SESI is a scientific and engineering society that promotes the development and utilisation of solar energy in India. It provides a platform for researchers, engineers, and industry professionals working in renewable energy.",1976,Solar Energy Society of India,Professional Scientific Society,D. P. Rao,President,sesi@sesi.in,association,2000,2000,25000,https://www.sesi.in,"Logistics / Manufacturing (Couriers, Warehousing, Light Manufacturing)",Solar Energy Professional Society,Solar Energy,Delhi,New Delhi,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""SESI is a scientific and engineering society that promotes the development and utilisation of solar energy in India. It provides a platform for researchers, engineers, and industry professionals working in renewable energy."", ""mission"": """", ""vision"": """", ""sector"": ""Solar Energy"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": ""D. P. Rao"", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": """", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""2000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": ""sesi@sesi.in"", ""website"": ""https://www.sesi.in""}}"
50,IEEMA Power Equipment Forum,Apex representative of India's power equipment sector.,"As part of IEEMA's power equipment segment, this forum represents manufacturers of power transformers, switchgear, cables, and energy meters. It advocates for domestic manufacturing under Make in India and energy transition initiatives.",1948,IEEMA Power Sector Committee,Industry Committee,Shailendra Shrivastava,Director General,ieema@ieema.org,association,400,20000,500000,https://www.ieema.org,"Logistics / Manufacturing (Couriers, Warehousing, Light Manufacturing)",Power Equipment Manufacturers Forum,Power Equipment,Maharashtra,Mumbai,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""As part of IEEMA's power equipment segment, this forum represents manufacturers of power transformers, switchgear, cables, and energy meters. It advocates for domestic manufacturing under Make in India and energy transition initiatives."", ""mission"": """", ""vision"": """", ""sector"": ""Power Equipment"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": """", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": ""Shailendra Shrivastava"", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""Mumbai, Maharashtra"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""400+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""Mumbai, Maharashtra, India"", ""phone_number"": """", ""email"": ""ieema@ieema.org"", ""website"": ""https://www.ieema.org""}}"
51,All India Motor Transport Congress (AIMTC),Apex body of road transport operators in India.,"AIMTC is the apex body of the road transport sector in India, representing over 95 lakh transport operators. It is the voice of truckers and transport operators and works to address issues related to freight and logistics.",1954,All India Motor Transport Congress,Non-profit Industry Body,S.P. Singh,Senior Vice President,aimtc@aimtc.net,association,9500000,500,50000,https://www.aimtc.net,"Logistics / Manufacturing (Couriers, Warehousing, Light Manufacturing)",Road Transport Apex Body,Road Transport,Delhi,New Delhi,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""AIMTC is the apex body of the road transport sector in India, representing over 95 lakh transport operators. It is the voice of truckers and transport operators and works to address issues related to freight and logistics."", ""mission"": """", ""vision"": """", ""sector"": ""Road Transport"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": ""S.P. Singh"", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": """", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""9500000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": ""aimtc@aimtc.net"", ""website"": ""https://www.aimtc.net""}}"
52,Container Shipping Lines Association (CSLA),Association of container shipping lines operating in India.,"CSLA represents container shipping lines operating in and out of India. It provides a platform for shipping lines to address common industry issues, especially those related to India's trade and maritime policy.",1988,Container Shipping Lines Association,Industry Association,Suresh Kumar,Executive Director,csla@csla-india.org,association,25,100000,2000000,https://www.csla-india.org,"Logistics / Manufacturing (Couriers, Warehousing, Light Manufacturing)",Container Shipping Lines Association,Shipping,Maharashtra,Mumbai,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""CSLA represents container shipping lines operating in and out of India. It provides a platform for shipping lines to address common industry issues, especially those related to India's trade and maritime policy."", ""mission"": """", ""vision"": """", ""sector"": ""Shipping"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": """", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": ""Suresh Kumar"", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""Mumbai, Maharashtra"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""25+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""Mumbai, Maharashtra, India"", ""phone_number"": """", ""email"": ""csla@csla-india.org"", ""website"": ""https://www.csla-india.org""}}"
53,Air Cargo Agents Association of India (ACAAI),National body of air cargo agents in India.,"ACAAI is the apex body representing air cargo agents in India. Founded in 1967, it promotes the interests of IATA-accredited cargo agents and coordinates between airlines, shippers and freight forwarders.",1967,Air Cargo Agents Association of India,Non-profit Trade Body,Atul Kulkarni,President,acaai@acaai.in,association,1800,5000,50000,https://www.acaai.in,"Logistics / Manufacturing (Couriers, Warehousing, Light Manufacturing)",Air Cargo Agents Association,Air Cargo,Maharashtra,Mumbai,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""ACAAI is the apex body representing air cargo agents in India. Founded in 1967, it promotes the interests of IATA-accredited cargo agents and coordinates between airlines, shippers and freight forwarders."", ""mission"": """", ""vision"": """", ""sector"": ""Air Cargo"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": ""Atul Kulkarni"", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": """", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""Mumbai, Maharashtra"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""1800+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""Mumbai, Maharashtra, India"", ""phone_number"": """", ""email"": ""acaai@acaai.in"", ""website"": ""https://www.acaai.in""}}"
54,Retailers Association of India (RAI),Industry body representing the retail business in India.,"RAI is an industry body representing the retail business in India. Founded in 2004, it works with government and other stakeholders to develop the retail sector, and represents retailers of all formats and sizes.",2004,Retailers Association of India,Non-profit Industry Body,Kumar Rajagopalan,Chief Executive Officer,info@rai.net.in,association,3000,10000,500000,https://www.rai.net.in,"Dealers & Distributors (FMCG, Electronics Distribution)",Retail Trade Association,Retail Trade,Maharashtra,Mumbai,National,Section 8 Company,"{""association_type"": ""National"", ""legal_status"": ""Section 8 Company"", ""overview"": {""about"": ""RAI is an industry body representing the retail business in India. Founded in 2004, it works with government and other stakeholders to develop the retail sector, and represents retailers of all formats and sizes."", ""mission"": """", ""vision"": """", ""sector"": ""Retail Trade"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": """", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": ""Kumar Rajagopalan"", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""Mumbai, Maharashtra"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""3000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""Mumbai, Maharashtra, India"", ""phone_number"": """", ""email"": ""info@rai.net.in"", ""website"": ""https://www.rai.net.in""}}"
55,Indian Staffing Federation (ISF),National body of staffing industry in India.,ISF is the national body of the staffing industry in India. It represents over 100 staffing companies that collectively employ millions of flexi-staff across industries and is the official body for policy advocacy in the workforce staffing space.,2013,Indian Staffing Federation,Non-profit Industry Body,Lohit Bhatia,President,lohit.bhatia@isfindia.org,association,125,50000,1000000,https://www.isfindia.org,"Business Services (B2B, HR, Accounting)",HR Staffing Industry Body,Staffing / Workforce,Delhi,New Delhi,National,Section 8 Company,"{""association_type"": ""National"", ""legal_status"": ""Section 8 Company"", ""overview"": {""about"": ""ISF is the national body of the staffing industry in India. It represents over 100 staffing companies that collectively employ millions of flexi-staff across industries and is the official body for policy advocacy in the workforce staffing space."", ""mission"": """", ""vision"": """", ""sector"": ""Staffing / Workforce"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": ""Lohit Bhatia"", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": """", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""125+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": ""lohit.bhatia@isfindia.org"", ""website"": ""https://www.isfindia.org""}}"
56,National HRD Network (NHRD),Professional body for HR professionals in India.,"National HRD Network is the apex body of HR professionals in India, founded in 1985. It facilitates sharing of knowledge and best practices in human resource management and plays a vital role in the professional development of HR practitioners.",1985,National HRD Network,Professional Body,Aquil Busrai,President,info@nhrd.net,association,80000,3000,50000,https://www.nhrd.net,"Business Services (B2B, HR, Accounting)",HR Professionals Network,Human Resources,Maharashtra,Mumbai,National,Registered Society,"{""association_type"": ""National"", ""legal_status"": ""Registered Society"", ""overview"": {""about"": ""National HRD Network is the apex body of HR professionals in India, founded in 1985. It facilitates sharing of knowledge and best practices in human resource management and plays a vital role in the professional development of HR practitioners."", ""mission"": """", ""vision"": """", ""sector"": ""Human Resources"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": ""Aquil Busrai"", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": """", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""Mumbai, Maharashtra"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""80000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""Mumbai, Maharashtra, India"", ""phone_number"": """", ""email"": ""info@nhrd.net"", ""website"": ""https://www.nhrd.net""}}"
57,Bar Council of India (BCI),Statutory body regulating legal practice in India.,"The Bar Council of India is a statutory body established under the Advocates Act, 1961 that regulates legal practice and legal education in India. It prescribes standards for legal education and grants recognition to law universities.",1961,Bar Council of India,Statutory Regulatory Body,Manan Kumar Mishra,Chairman,barcouncilofindia@gmail.com,association,1800000,1000,10000,https://www.barcouncilofindia.org,General (Miscellaneous),Legal Profession Regulatory Body,Legal Profession,Delhi,New Delhi,National,Statutory Body,"{""association_type"": ""National"", ""legal_status"": ""Statutory Body"", ""overview"": {""about"": ""The Bar Council of India is a statutory body established under the Advocates Act, 1961 that regulates legal practice and legal education in India. It prescribes standards for legal education and grants recognition to law universities."", ""mission"": """", ""vision"": """", ""sector"": ""Legal Profession"", ""objectives"": [], ""key_functions"": []}, ""governance"": {""president"": {""name"": """", ""company"": """"}, ""vice_presidents"": [], ""secretary_general"": {""name"": """", ""company"": """"}}, ""regional_structure"": {""governance_model"": """", ""headquarters"": ""New Delhi, Delhi"", ""chapters"": []}, ""membership_details"": {""overview_metrics"": [{""label"": ""Total Members"", ""value"": ""1800000+""}], ""categories"": [], ""requirements"": [], ""application_process"": {}, ""benefits"": [], ""mode_of_application"": """", ""application_url"": """", ""member_login_url"": """"}, ""services_offered"": [], ""programs"": {}, ""events"": {}, ""publications"": {}, ""compliance_policies"": {}, ""partnerships"": {""list"": []}, ""awards"": {""list"": []}, ""transparency"": [], ""digital_presence"": [], ""contact_details"": {""office_address"": ""New Delhi, Delhi, India"", ""phone_number"": """", ""email"": ""barcouncilofindia@gmail.com"", ""website"": ""https://www.barcouncilofindia.org""}}"
